Player,Team,S/C,Pos,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,GP,G,A,P
Tyler Ennis,OTT,L,R,1989-10-06,Edmonton,AB,CAN,CAN,69,161,2008,1,26,20092010,N,45,11,14,25
Jonathan Ericsson,DET,L,D,1984-03-02,Karlskrona,--,SWE,SWE,76,218,2002,9,291,20072008,N,9,0,0,0
Loui Eriksson,VAN,L,L,1985-07-17,Gothenburg,--,SWE,SWE,74,179,2003,2,33,20062007,N,27,4,2,6
Joel Eriksson Ek,MIN,L,C,1997-01-29,Karlstad,--,SWE,SWE,73,210,2015,1,20,20162017,N,38,3,14,17
Adam Erne,DET,L,L,1995-04-20,New Haven,CT,USA,USA,73,212,2013,2,33,20162017,N,37,2,1,3
Robby Fabbri,DET,L,C,1996-01-22,Mississauga,ON,CAN,CAN,70,190,2014,1,21,20152016,N,38,11,11,22
Dante Fabbro,NSH,R,D,1998-06-20,Coquitlam,BC,CAN,CAN,72,189,2016,1,17,20182019,N,39,4,5,9
Radek Faksa,DAL,L,C,1994-01-09,Vitkov,--,CZE,CZE,75,220,2012,1,13,20152016,N,45,9,7,16
Oscar Fantenberg,VAN,L,D,1991-10-07,Ljunby,--,SWE,SWE,72,206,--,--,--,20172018,N,18,1,1,2
Joel Farabee,PHI,L,L,2000-02-25,Syracuse,NY,USA,USA,72,164,2018,1,14,20192020,N,36,3,9,12
Jesper Fast,NYR,R,R,1991-12-02,Nassjo,--,SWE,SWE,73,191,2010,6,157,20132014,N,43,7,11,18
Justin Faulk,STL,R,D,1992-03-20,South St. Paul,MN,USA,USA,72,217,2010,2,37,20112012,N,46,3,9,12
Taylor Fedun,DAL,R,D,1988-06-04,Edmonton,AB,CAN,CAN,73,200,--,--,--,20132014,N,27,2,7,9
Martin Fehervary,WSH,L,D,1999-10-06,Bratislava,--,SVK,SVK,74,200,2018,2,46,20192020,N,3,0,0,0
Micheal Ferland,VAN,L,L,1992-04-20,Swan River,MB,CAN,CAN,73,217,2010,5,133,20142015,N,14,1,4,5
Mario Ferraro,SJS,L,D,1998-09-17,Toronto,ON,CAN,CAN,71,185,2017,2,49,20192020,N,41,1,6,7
Kevin Fiala,MIN,L,L,1996-07-22,St. Gallen,--,CHE,CHE,70,193,2014,1,11,20142015,N,40,9,16,25
Valtteri Filppula,DET,L,C,1984-03-20,Vantaa,--,FIN,FIN,72,189,2002,3,95,20052006,N,45,3,12,15
Christian Fischer,ARI,R,R,1997-04-15,Chicago,IL,USA,USA,74,214,2015,2,32,20162017,N,42,5,3,8
Cale Fleury,MTL,R,D,1998-11-19,Carlyle,SK,CAN,CAN,73,205,2017,3,87,20192020,N,39,1,0,1
Haydn Fleury,CAR,L,D,1996-07-08,Carlyle,SK,CAN,CAN,75,208,2014,1,7,20172018,N,24,2,3,5
Warren Foegele,CAR,L,L,1996-04-01,Markham,ON,CAN,CAN,74,198,2014,3,67,20172018,N,45,10,12,22
Steven Fogarty,NYR,R,C,1993-04-19,Chambersburg,PA,USA,USA,75,208,2011,3,72,20172018,N,6,0,0,0
Marcus Foligno,MIN,L,L,1991-08-10,Buffalo,NY,USA,CAN,75,224,2009,4,104,20112012,N,35,8,9,17
Nick Foligno,CBJ,L,L,1987-10-31,Buffalo,NY,USA,USA,72,208,2006,1,28,20072008,N,43,4,13,17
Christian Folin,MTL,R,D,1991-02-09,Gothenburg,--,SWE,SWE,76,204,--,--,--,20132014,N,5,0,1,1
Derek Forbort,LAK,L,D,1992-03-04,Duluth,MN,USA,USA,76,219,2010,1,15,20152016,N,3,0,0,0
Filip Forsberg,NSH,R,L,1994-08-13,Ostervala,--,SWE,SWE,73,205,2012,1,11,20122013,N,38,15,16,31
Cam Fowler,ANA,L,D,1991-12-05,Windsor,ON,CAN,USA,73,207,2010,1,12,20102011,N,45,9,14,23
Adam Fox,NYR,R,D,1998-02-17,Jericho,NY,USA,USA,71,181,2016,3,66,20192020,N,44,5,19,24
Trent Frederic,BOS,L,C,1998-02-11,St. Louis,MO,USA,USA,74,203,2016,1,29,20182019,N,2,0,0,0
Mark Friedman,PHI,R,D,1995-12-25,Toronto,ON,CAN,CAN,71,185,2014,3,86,20182019,N,2,0,0,0
Martin Frk,LAK,R,R,1993-10-05,Pelhrimov,--,CZE,CZE,73,205,2012,2,49,20162017,N,4,3,0,3
Michael Frolik,BUF,L,R,1988-02-17,Kladno,--,CZE,CZE,73,190,2006,1,10,20082009,N,41,5,6,11
Morgan Frost,PHI,L,C,1999-05-14,Aurora,ON,CAN,CAN,71,170,2017,1,27,20192020,N,18,2,5,7
Sam Gagner,EDM,R,C,1989-08-10,London,ON,CAN,CAN,71,200,2007,1,6,20072008,N,22,1,7,8
Alex Galchenyuk,PIT,L,C,1994-02-12,Milwaukee,WI,USA,USA,73,207,2012,1,3,20122013,N,36,4,11,15
Brendan Gallagher,MTL,R,R,1992-05-06,Edmonton,AB,CAN,CAN,69,184,2010,5,147,20122013,N,41,15,17,32
Dylan Gambrell,SJS,R,C,1996-08-26,Bonney Lake,WA,USA,USA,72,185,2016,2,60,20172018,N,30,2,4,6
Jake Gardiner,CAR,L,D,1990-07-04,Minnetonka,MN,USA,USA,74,203,2008,1,17,20112012,N,45,3,9,12
Rhett Gardner,DAL,L,C,1996-02-28,Moose Jaw,SK,CAN,CAN,75,225,2016,4,116,20192020,N,8,0,0,0
Conor Garland,ARI,R,R,1996-03-11,Scituate,MA,USA,USA,70,165,2015,5,123,20182019,N,47,15,8,23
Adam Gaudette,VAN,R,C,1996-10-03,Braintree,MA,USA,USA,73,170,2015,5,149,20172018,N,36,8,11,19
Johnny Gaudreau,CGY,L,L,1993-08-13,Salem,NJ,USA,USA,69,165,2011,4,104,20132014,N,47,13,25,38
Brendan Gaunce,BOS,L,C,1994-03-25,Sudbury,ON,CAN,CAN,74,217,2012,1,26,20152016,N,1,0,1,1
Frederik Gauthier,TOR,L,C,1995-04-26,Laval,QC,CAN,CAN,77,239,2013,1,21,20152016,N,42,5,4,9
Julien Gauthier,CAR,R,R,1997-10-15,Pointe-aux-Trembles,QC,CAN,CAN,76,227,2016,1,21,20192020,N,5,0,1,1
Vladislav Gavrikov,CBJ,L,D,1995-11-21,Yaroslavl,--,RUS,RUS,75,213,2015,6,159,20192020,N,45,4,4,8
Nathan Gerbe,CBJ,L,C,1987-07-24,Oxford,MI,USA,USA,64,169,2005,5,142,20082009,N,10,3,3,6
Tim Gettinger,NYR,L,L,1998-04-14,Cleveland,OH,USA,USA,78,218,2016,5,141,20182019,N,2,0,1,1
Ryan Getzlaf,ANA,R,C,1985-05-10,Regina,SK,CAN,CAN,75,228,2003,1,19,20052006,N,43,11,19,30
Brian Gibbons,CAR,L,C,1988-02-26,Braintree,MA,USA,USA,68,175,--,--,--,20132014,N,15,0,0,0
Dennis Gilbert,CHI,L,D,1996-10-30,Buffalo,NY,USA,USA,74,216,2015,3,91,20182019,N,20,1,2,3
John Gilmour,BUF,L,D,1993-05-17,Montreal,QC,CAN,CAN,72,188,2013,7,198,20172018,N,4,0,0,0
Mark Giordano,CGY,L,D,1983-10-03,Toronto,ON,CAN,CAN,73,200,--,--,--,20052006,N,47,5,16,21
Samuel Girard,COL,L,D,1998-05-12,Roberval,QC,CAN,CAN,70,170,2016,2,47,20172018,N,45,1,24,25
Zemgus Girgensons,BUF,L,C,1994-01-05,Riga,--,LVA,LVA,74,211,2012,1,14,20132014,N,46,8,4,12
Claude Giroux,PHI,R,C,1988-01-12,Hearst,ON,CAN,CAN,71,185,2006,1,22,20072008,N,45,13,18,31
Cody Glass,VGK,R,C,1999-04-01,Winnipeg,MB,CAN,CAN,74,192,2017,1,6,20192020,N,37,5,7,12
Luke Glendening,DET,R,C,1989-04-28,Grand Rapids,MI,USA,USA,71,191,--,--,--,20132014,N,35,6,3,9
Nikolay Goldobin,VAN,L,R,1995-10-07,Moscow,--,RUS,RUS,71,196,2014,1,27,20152016,N,1,0,0,0
Alex Goligoski,ARI,L,D,1985-07-30,Grand Rapids,MN,USA,USA,71,185,2004,2,61,20072008,N,48,3,22,25
Cody Goloubef,OTT,R,D,1989-11-30,Mississauga,ON,CAN,CAN,73,190,2008,2,37,20112012,N,18,0,1,1
Barclay Goodrow,SJS,L,R,1993-02-26,Toronto,ON,CAN,CAN,74,215,--,--,--,20142015,N,47,7,13,20
Shayne Gostisbehere,PHI,L,D,1993-04-20,Pembroke Pines,FL,USA,USA,71,180,2012,3,78,20142015,N,40,5,7,12
Yanni Gourde,TBL,L,C,1991-12-15,Saint-Narcisse,QC,CAN,CAN,69,173,--,--,--,20152016,N,45,6,13,19
Michael Grabner,ARI,L,L,1987-10-05,Villach,--,AUT,AUT,73,188,2006,1,14,20092010,N,40,8,3,11
Markus Granlund,EDM,L,C,1993-04-16,Oulu,--,FIN,FIN,72,180,2011,2,45,20132014,N,31,3,1,4
Mikael Granlund,NSH,L,C,1992-02-26,Oulu,--,FIN,FIN,70,185,2010,1,9,20122013,N,38,7,8,15
Derek Grant,ANA,L,C,1990-04-20,Abbotsford,BC,CAN,CAN,75,206,2008,4,119,20122013,N,34,9,3,12
Tyler Graovac,VAN,L,C,1993-04-27,Brampton,ON,CAN,CAN,77,208,2011,7,191,20142015,N,8,2,0,2
Kevin Gravel,TOR,L,D,1992-03-06,Kingsford,MI,USA,USA,76,205,2010,5,148,20152016,N,3,0,0,0
Ryan Graves,COL,L,D,1995-05-21,Yarmouth,NS,CAN,CAN,77,220,2013,4,110,20182019,N,44,6,9,15
Mike Green,DET,R,D,1985-10-12,Calgary,AB,CAN,CAN,73,210,2004,1,29,20052006,N,37,2,6,8
Andy Greene,NJD,L,D,1982-10-30,Trenton,MI,USA,USA,71,190,--,--,--,20062007,N,41,1,7,8
Jordan Greenway,MIN,L,L,1997-02-16,Canton,NY,USA,USA,78,225,2015,2,50,20172018,N,43,5,11,16
Noah Gregor,SJS,L,C,1998-07-28,Beaumont,AB,CAN,CAN,72,185,2016,4,111,20192020,N,18,1,0,1
Rocco Grimaldi,NSH,R,R,1993-02-08,Anaheim,CA,USA,USA,66,180,2011,2,33,20142015,N,41,8,14,22
Jordan Gross,ARI,R,D,1995-05-09,Maple Grove,MN,USA,USA,70,190,--,--,--,20192020,N,2,0,1,1
Carl Grundstrom,LAK,L,R,1997-12-01,Umea,--,SWE,SWE,72,201,2016,2,57,20182019,N,9,0,4,4
Matt Grzelcyk,BOS,L,D,1994-01-05,Charlestown,MA,USA,USA,69,174,2012,3,85,20162017,N,45,2,12,14
Radko Gudas,WSH,R,D,1990-06-05,Prague,--,CZE,CZE,72,205,2010,3,66,20122013,N,46,2,12,14
Erik Gudbranson,ANA,R,D,1992-01-07,Ottawa,ON,CAN,CAN,77,217,2010,1,3,20112012,N,41,3,4,7
Jake Guentzel,PIT,L,L,1994-10-06,Omaha,NE,USA,USA,71,180,2013,3,77,20162017,N,39,20,23,43
Brendan Guhle,ANA,L,D,1997-07-29,Edmonton,AB,CAN,CAN,74,197,2015,2,51,20162017,N,18,1,3,4
Carl Gunnarsson,STL,L,D,1986-11-09,Orebro,--,SWE,SWE,74,198,2007,7,194,20092010,N,17,1,3,4
Denis Gurianov,DAL,L,R,1997-06-07,Togliatti,--,RUS,RUS,75,200,2015,1,12,20162017,N,40,10,6,16
Nikita Gusev,NJD,R,L,1992-07-08,Moscow,--,RUS,RUS,69,163,2012,7,202,20192020,N,42,8,19,27
David Gustafsson,WPG,L,C,2000-04-11,Tingsryd,--,SWE,SWE,74,196,2018,2,60,20192020,N,22,1,0,1
Erik Gustafsson,CHI,L,D,1992-03-14,Nynashamn,--,SWE,SWE,72,197,2012,4,93,20152016,N,45,5,13,18
Gaetan Haas,EDM,R,C,1992-01-31,Bonfol,--,CHE,CHE,72,181,--,--,--,20192020,N,39,4,4,8
Carl Hagelin,WSH,L,L,1988-08-23,Sodertalje,--,SWE,SWE,72,185,2007,6,168,20112012,N,35,1,8,9
Robert Hagg,PHI,L,D,1995-02-08,Uppsala,--,SWE,SWE,74,204,2013,2,41,20162017,N,26,1,4,5
Nicolas Hague,VGK,L,D,1998-12-05,Kitchener,ON,CAN,CAN,78,221,2017,2,34,20192020,N,34,0,10,10
Ron Hainsey,OTT,L,D,1981-03-24,Bolton,CT,USA,USA,75,201,2000,1,13,20022003,N,38,1,7,8
Libor Hajek,NYR,L,D,1998-02-04,Smrcek,--,CZE,CZE,74,203,2016,2,37,20182019,N,28,0,5,5
Micheal Haley,NYR,L,C,1986-03-30,Guelph,ON,CAN,CAN,71,202,--,--,--,20092010,N,19,1,0,1
Taylor Hall,ARI,L,L,1991-11-14,Calgary,AB,CAN,CAN,73,205,2010,1,1,20102011,N,43,10,25,35
Dan Hamhuis,NSH,L,D,1982-12-13,Smithers,BC,CAN,CAN,73,204,2001,1,12,20032004,N,40,0,5,5
Dougie Hamilton,CAR,R,D,1993-06-17,Toronto,ON,CAN,CAN,78,229,2011,1,9,20122013,N,45,14,26,40
Travis Hamonic,CGY,R,D,1990-08-16,St. Malo,MB,CAN,CAN,74,205,2008,2,53,20102011,N,41,3,5,8
Noah Hanifin,CGY,L,D,1997-01-25,Boston,MA,USA,USA,75,215,2015,1,5,20152016,N,47,4,9,13
Joel Hanley,DAL,L,D,1991-06-08,Keswick,ON,CAN,CAN,71,190,--,--,--,20152016,N,8,0,2,2
Jansen Harkins,WPG,L,C,1997-05-23,Cleveland,OH,USA,USA,73,182,2015,2,47,20192020,N,8,0,2,2
Scott Harrington,CBJ,L,D,1993-03-10,Kingston,ON,CAN,CAN,74,204,2011,2,54,20142015,N,18,1,3,4
Ryan Hartman,MIN,R,R,1994-09-20,Hilton Head Isl.,SC,USA,USA,72,189,2013,1,30,20142015,N,45,5,6,11
Garnet Hathaway,WSH,R,R,1991-11-23,Kennebunkport,ME,USA,USA,75,210,--,--,--,20152016,N,43,6,6,12
Erik Haula,CAR,L,L,1991-03-23,Pori,--,FIN,FIN,72,193,2009,7,181,20132014,N,26,11,8,19
Jayce Hawryluk,FLA,R,C,1996-01-01,Yorkton,SK,CAN,CAN,71,196,2014,2,32,20182019,N,10,1,2,3
John Hayden,NJD,R,C,1995-02-14,Chicago,IL,USA,USA,75,215,2013,3,74,20162017,N,22,1,1,2
Kevin Hayes,PHI,L,C,1992-05-08,Dorchester,MA,USA,USA,77,216,2010,1,24,20142015,N,45,13,12,25
Barrett Hayton,ARI,L,C,2000-06-09,Peterborough,ON,CAN,CAN,73,190,2018,1,5,20192020,N,14,1,3,4
Victor Hedman,TBL,L,D,1990-12-18,Ornskoldsvik,--,SWE,SWE,78,229,2009,1,2,20092010,N,43,9,32,41
Tim Heed,SJS,R,D,1991-01-27,Gothenburg,--,SWE,SWE,71,180,2010,5,132,20162017,N,24,0,1,1
Danton Heinen,BOS,L,C,1995-07-05,Langley,BC,CAN,CAN,73,188,2014,4,116,20162017,N,45,7,11,18
Ville Heinola,WPG,L,D,2001-03-02,Honkajoki,--,FIN,FIN,71,178,2019,1,20,20192020,N,8,1,4,5
Miro Heiskanen,DAL,L,D,1999-07-18,Espoo,--,FIN,FIN,73,190,2017,1,3,20182019,N,45,7,16,23
Darren Helm,DET,L,L,1987-01-21,St. Andrews,MB,CAN,CAN,72,192,2005,5,132,20072008,N,45,6,5,11
Adam Henrique,ANA,L,C,1990-02-06,Brantford,ON,CAN,CAN,72,188,2008,3,82,20102011,N,45,14,10,24
Tomas Hertl,SJS,L,C,1993-11-12,Praha,--,CZE,CZE,74,215,2012,1,17,20132014,N,43,15,20,35
Joe Hicketts,DET,L,D,1996-05-04,Kamloops,BC,CAN,CAN,68,180,--,--,--,20172018,N,6,0,2,2
Matthew Highmore,CHI,L,C,1996-02-27,Halifax,NS,CAN,CAN,71,188,--,--,--,20172018,N,16,1,1,2
Vinnie Hinostroza,ARI,R,R,1994-04-03,Chicago,IL,USA,USA,69,173,2012,6,169,20152016,N,47,4,13,17
Roope Hintz,DAL,L,L,1996-11-17,Tampere,--,FIN,FIN,75,220,2015,2,49,20182019,N,38,15,8,23
Taro Hirose,DET,L,L,1996-06-30,Calgary,AB,CAN,CAN,70,162,--,--,--,20182019,N,23,2,5,7
Nico Hischier,NJD,L,C,1999-01-04,Brig,--,CHE,CHE,73,175,2017,1,1,20172018,N,40,12,16,28
Niklas Hjalmarsson,ARI,L,D,1987-06-06,Eksjo,--,SWE,SWE,75,197,2005,4,108,20072008,N,5,1,1,2
Mike Hoffman,FLA,L,L,1989-11-24,Kitchener,ON,CAN,CAN,72,182,2009,5,129,20112012,N,45,18,17,35
Nick Holden,VGK,L,D,1987-05-15,St. Albert,AB,CAN,CAN,76,212,--,--,--,20102011,N,38,4,3,7
Justin Holl,TOR,R,D,1992-01-30,Tonka Bay,MN,USA,USA,76,210,2010,2,54,20172018,N,44,1,12,13
Korbinian Holzer,ANA,R,D,1988-02-16,Munich,--,DEU,DEU,75,213,2006,4,111,20102011,N,35,1,2,3
Patric Hornqvist,PIT,R,R,1987-01-01,Sollentuna,--,SWE,SWE,71,189,2005,7,230,20082009,N,28,11,6,17
Bo Horvat,VAN,L,C,1995-04-05,London,ON,CAN,CAN,72,215,2013,1,9,20142015,N,46,15,25,40
Brett Howden,NYR,L,C,1998-03-29,Calgary,AB,CAN,CAN,75,197,2016,1,27,20182019,N,44,6,6,12
Filip Hronek,DET,R,D,1997-11-02,Hradec Králové,--,CZE,CZE,72,183,2016,2,53,20182019,N,44,8,17,25
Jonathan Huberdeau,FLA,L,L,1993-06-04,Saint-Jerome,QC,CAN,CAN,73,202,2011,1,3,20122013,N,45,18,43,61
Charles Hudon,MTL,L,L,1994-06-23,Alma,QC,CAN,CAN,70,190,2012,5,122,20152016,N,9,0,1,1
Cameron Hughes,BOS,L,C,1996-10-09,Edmonton,AB,CAN,CAN,71,160,2015,6,165,20192020,N,1,0,0,0
Jack Hughes,NJD,L,C,2001-05-14,Orlando,FL,USA,USA,71,170,2019,1,1,20192020,N,37,6,11,17
Quinn Hughes,VAN,L,D,1999-10-14,Orlando,FL,USA,USA,70,170,2018,1,7,20182019,N,45,4,28,32
Brad Hunt,MIN,L,D,1988-08-24,Maple Ridge,BC,CAN,CAN,69,176,--,--,--,20132014,N,44,7,8,15
Dryden Hunt,FLA,L,L,1995-11-24,Cranbrook,BC,CAN,CAN,72,193,--,--,--,20172018,N,20,0,4,4
Ben Hutton,LAK,L,D,1993-04-20,Brockville,ON,CAN,CAN,74,206,2012,5,147,20152016,N,47,2,5,7
Zach Hyman,TOR,R,L,1992-06-09,Toronto,ON,CAN,CAN,73,211,2010,5,123,20152016,N,27,11,8,19
Alex Iafallo,LAK,L,L,1993-12-21,Eden,NY,USA,USA,72,188,--,--,--,20172018,N,47,9,17,26
Matt Irwin,NSH,L,D,1987-11-29,Victoria,BC,CAN,CAN,73,207,--,--,--,20122013,N,24,0,2,2
Mark Jankowski,CGY,L,C,1994-09-13,Hamilton,ON,CAN,CAN,76,212,2012,1,21,20162017,N,37,0,1,1
Mattias Janmark,DAL,L,C,1992-12-08,Danderyd,--,SWE,SWE,73,195,2013,3,79,20152016,N,39,5,9,14
Calle Jarnkrok,NSH,R,C,1991-09-25,Gävle,--,SWE,SWE,71,186,2010,2,51,20132014,N,44,12,15,27
Christian Jaros,OTT,R,D,1996-04-02,Kosice,--,SVK,SVK,75,222,2015,5,139,20172018,N,6,0,2,2
Boone Jenner,CBJ,L,C,1993-06-15,Dorchester,ON,CAN,CAN,74,208,2011,2,37,20132014,N,46,8,9,17
Nick Jensen,WSH,R,D,1990-09-21,Rogers,MN,USA,USA,73,196,2009,5,149,20162017,N,46,0,2,2
Ryan Johansen,NSH,R,C,1992-07-31,Vancouver,BC,CAN,CAN,75,218,2010,1,4,20112012,N,44,9,17,26
Marcus Johansson,BUF,L,L,1990-10-06,Landskrona,--,SWE,SWE,73,205,2009,1,24,20102011,N,39,6,15,21
Adam Johnson,PIT,L,C,1994-06-22,Grand Rapids,MN,USA,USA,72,174,--,--,--,20182019,N,7,1,1,2
Erik Johnson,COL,R,D,1988-03-21,Bloomington,MN,USA,USA,76,225,2006,1,1,20072008,N,34,1,8,9
Jack Johnson,PIT,L,D,1987-01-13,Indianapolis,IN,USA,USA,73,227,2005,1,3,20062007,N,43,2,6,8
Luke Johnson,MIN,R,C,1994-09-19,Grand Forks,ND,USA,USA,71,177,2013,5,134,20182019,N,3,0,0,0
Tyler Johnson,TBL,R,C,1990-07-29,Spokane,WA,USA,USA,68,182,--,--,--,20122013,N,40,11,10,21
Andreas Johnsson,TOR,L,L,1994-11-21,Gävle,--,SWE,SWE,70,194,2013,7,202,20172018,N,31,6,10,16
Ross Johnston,NYI,L,L,1994-02-18,Charlottetown,PE,CAN,CAN,77,235,--,--,--,20152016,N,24,3,0,3
Henri Jokiharju,BUF,R,D,1999-06-17,Oulu,--,FIN,FIN,72,195,2017,1,29,20182019,N,46,4,8,12
Caleb Jones,EDM,L,D,1997-06-06,Arlington,TX,USA,USA,73,194,2015,4,117,20182019,N,22,0,3,3
Max Jones,ANA,L,L,1998-02-17,Rochester,MI,USA,USA,73,220,2016,1,24,20182019,N,34,5,2,7
Seth Jones,CBJ,R,D,1994-10-03,Arlington,TX,USA,USA,76,209,2013,1,4,20132014,N,46,4,21,25
Mathieu Joseph,TBL,L,R,1997-02-09,Laval,QC,CAN,CAN,73,190,2015,4,120,20182019,N,34,4,3,7
Roman Josi,NSH,L,D,1990-06-01,Bern,--,CHE,CHE,73,201,2008,2,38,20112012,N,44,14,32,46
Tyson Jost,COL,L,C,1998-03-14,St. Albert,AB,CAN,CAN,71,187,2016,1,10,20162017,N,42,5,8,13
Tomas Jurco,EDM,L,R,1992-12-28,Kosice,--,SVK,SVK,74,188,2011,2,35,20132014,N,12,0,2,2
Nazem Kadri,COL,L,C,1990-10-06,London,ON,CAN,CAN,72,192,2009,1,7,20092010,N,42,15,12,27
Dominik Kahun,PIT,L,C,1995-07-02,Plana,--,CZE,DEU,71,175,--,--,--,20182019,N,44,10,16,26
Kaapo Kakko,NYR,L,R,2001-02-13,Turku,--,FIN,FIN,75,199,2019,1,2,20192020,N,40,7,9,16
Vladislav Kamenev,COL,L,C,1996-08-12,Orsk,--,RUS,RUS,74,194,2014,2,42,20162017,N,19,1,4,5
David Kampf,CHI,L,C,1995-01-12,Chomutov,--,CZE,CZE,74,188,--,--,--,20172018,N,46,6,7,13
Steven Kampfer,BOS,R,D,1988-09-24,Ann Arbor,MI,USA,USA,71,198,2007,4,93,20102011,N,9,0,2,2
Evander Kane,SJS,L,L,1991-08-02,Vancouver,BC,CAN,CAN,74,210,2009,1,4,20092010,N,44,18,15,33
Patrick Kane,CHI,L,R,1988-11-19,Buffalo,NY,USA,USA,70,177,2007,1,1,20072008,N,46,24,33,57
Kasperi Kapanen,TOR,R,R,1996-07-23,Kuopio,--,FIN,FIN,73,194,2014,1,22,20152016,N,46,10,18,28
Erik Karlsson,SJS,R,D,1990-05-31,Landsbro,--,SWE,SWE,72,190,2008,1,15,20092010,N,46,5,29,34
Melker Karlsson,SJS,R,C,1990-07-18,Lycksele,--,SWE,SWE,72,180,--,--,--,20142015,N,43,3,4,7
William Karlsson,VGK,L,C,1993-01-08,Marsta,--,SWE,SWE,72,195,2011,2,53,20142015,N,48,10,23,33
David Kase,PHI,L,R,1997-01-28,Kadan,--,CZE,CZE,71,169,2015,5,128,20192020,N,6,1,0,1
Ondrej Kase,ANA,R,R,1995-11-08,Kadan,--,CZE,CZE,72,190,2014,7,205,20162017,N,39,5,12,17
Zack Kassian,EDM,R,R,1991-01-24,Windsor,ON,CAN,CAN,75,211,2009,1,13,20112012,N,44,13,15,28
Duncan Keith,CHI,L,D,1983-07-16,Winnipeg,MB,CAN,CAN,73,192,2002,2,54,20052006,N,37,1,11,12
Clayton Keller,ARI,L,R,1998-07-29,Chesterfield,MO,USA,USA,70,170,2016,1,7,20162017,N,48,12,20,32
Joel Kellman,SJS,L,C,1994-05-25,Karlskrona,--,SWE,SWE,71,192,--,--,--,20192020,N,11,1,1,2
Adrian Kempe,LAK,L,C,1996-09-13,Kramfors,--,SWE,SWE,74,201,2014,1,29,20162017,N,46,10,9,19
Michal Kempny,WSH,L,D,1990-09-08,Hodonin,--,CZE,CZE,73,195,--,--,--,20162017,N,36,3,13,16
Alexander Kerfoot,TOR,L,C,1994-08-11,Vancouver,BC,CAN,CAN,70,185,2012,5,150,20172018,N,41,7,11,18
Phil Kessel,ARI,R,R,1987-10-02,Madison,WI,USA,USA,72,202,2006,1,5,20062007,N,48,9,18,27
Jujhar Khaira,EDM,L,L,1994-08-13,Surrey,BC,CAN,CAN,76,212,2012,3,63,20152016,N,42,6,2,8
Alex Killorn,TBL,L,L,1989-09-14,Halifax,NS,CAN,CAN,73,197,2007,3,77,20122013,N,43,18,19,37
Joel Kiviranta,DAL,L,L,1996-03-23,Vantaa,--,FIN,FIN,71,180,--,--,--,20192020,N,4,0,0,0
Oscar Klefbom,EDM,L,D,1993-07-20,Karlstad,--,SWE,SWE,75,216,2011,1,19,20132014,N,47,5,22,27
John Klingberg,DAL,R,D,1992-08-14,Gothenburg,--,SWE,SWE,75,190,2010,5,131,20142015,N,34,2,16,18
Slater Koekkoek,CHI,L,D,1994-02-18,Winchester,ON,CAN,CAN,74,193,2012,1,10,20142015,N,18,0,3,3
Mikko Koivu,MIN,L,C,1983-03-12,Turku,--,FIN,FIN,75,213,2001,1,6,20052006,N,33,2,11,13
Otto Koivula,NYI,L,L,1998-09-01,Nokia,--,FIN,FIN,76,219,2016,4,120,20192020,N,6,0,0,0
Keegan Kolesar,VGK,R,R,1997-04-08,Brandon,MB,CAN,CAN,74,227,2015,3,69,20192020,N,1,0,0,0
Leo Komarov,NYI,L,R,1987-01-23,Narva,--,EST,FIN,71,209,2006,6,180,20122013,N,24,0,7,7
Travis Konecny,PHI,R,R,1997-03-11,London,ON,CAN,CAN,70,175,2015,1,24,20162017,N,42,14,24,38
Anze Kopitar,LAK,L,C,1987-08-24,Jesenice,--,SVN,SVN,75,225,2005,1,11,20062007,N,47,16,24,40
Klim Kostin,STL,L,C,1999-05-05,Penza,--,RUS,RUS,75,212,2017,1,31,20192020,N,4,1,0,1
Jesperi Kotkaniemi,MTL,L,C,2000-07-06,Pori,--,FIN,FIN,74,198,2018,1,3,20182019,N,31,6,2,8
Ilya Kovalchuk,MTL,R,L,1983-04-15,Tver,--,RUS,RUS,75,222,2001,1,1,20012002,N,21,4,9,13
Chris Kreider,NYR,L,L,1991-04-30,Boxford,MA,USA,USA,75,217,2009,1,19,20122013,N,44,14,15,29
David Krejci,BOS,R,C,1986-04-28,Sternberk,--,CZE,CZE,72,188,2004,2,63,20062007,N,39,9,21,30
Torey Krug,BOS,L,D,1991-04-12,Livonia,MI,USA,USA,69,186,--,--,--,20112012,N,38,5,26,31
Dominik Kubalik,CHI,L,L,1995-08-21,Plzen,--,CZE,CZE,74,179,2013,7,191,20192020,N,44,16,10,26
Nikita Kucherov,TBL,L,R,1993-06-17,Maykop,--,RUS,RUS,71,180,2011,2,58,20132014,N,44,17,32,49
Karson Kuhlman,BOS,R,C,1995-09-26,Esko,MN,USA,USA,71,185,--,--,--,20182019,N,8,0,0,0
Tom Kuhnhackl,NYI,L,R,1992-01-21,Landshut,--,DEU,DEU,74,196,2010,4,110,20152016,N,17,3,1,4
Dean Kukan,CBJ,L,D,1993-07-08,Volketswil,--,CHE,CHE,74,192,--,--,--,20152016,N,33,1,4,5
Brett Kulak,MTL,L,D,1994-01-06,Edmonton,AB,CAN,CAN,74,190,2012,4,105,20142015,N,33,0,4,4
Dmitry Kulikov,WPG,L,D,1990-10-29,Lipetsk,--,RUS,RUS,73,204,2009,1,14,20092010,N,27,1,4,5
